;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;1;0;11;2;6;2;6;-0.5557080973822358;0
1;0;0;11;0;6;0;2;-0.5972415843220489;1
2;1;0;1;0;5;5;8;-0.4951742198382548;2
3;0;1;9;0;0;4;8;-0.5921389370956642;3
4;1;1;3;2;0;3;6;-0.4053798815236379;4
5;0;1;3;1;7;1;2;-0.4490120137571763;5
6;1;0;11;1;2;4;2;-0.5721922700050531;6
7;0;0;0;0;7;5;3;-0.4164517303737398;7
8;0;0;10;0;2;4;8;-0.5956252831731744;8
9;0;0;7;2;5;1;7;-0.5237281289864031;9
10;1;1;7;1;2;1;6;-0.5379720203237397;10
11;0;0;5;0;1;6;7;-0.5732560880106499;11
