;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;1;0;3;0;4;1;5;-0.728394226497748;0
1;1;1;9;1;1;0;5;-0.767470600792856;1
2;1;1;6;0;5;7;2;-0.7150919865395345;2
3;1;0;9;0;1;7;2;-0.6704902079434503;3
4;1;1;4;2;5;1;0;-0.7876879281989783;4
5;0;1;9;1;6;2;2;-0.7608572761965251;5
6;0;1;8;2;2;1;1;-0.7683076208765548;6
7;0;0;9;1;5;2;2;-0.7595077575255547;7
8;0;1;7;2;4;6;7;-0.768176343606061;8
9;1;0;6;0;0;3;7;-0.7144002708577231;9
10;0;0;8;1;4;5;5;-0.7668116957461909;10
11;0;1;6;2;0;5;2;-0.7787249378719393;11
12;1;0;8;0;5;0;4;-0.6834601174434011;12
13;1;1;6;2;6;0;8;-0.7818878374657064;13
14;0;1;0;1;2;0;3;-0.922463312614247;14
15;0;0;3;2;6;7;5;-0.8017606174858255;15
16;1;0;6;2;2;6;8;-0.7788822843423626;16
17;1;0;7;0;6;0;9;-0.6973353597396825;17
18;0;1;11;2;6;6;1;-0.7588665609761818;18
19;1;1;1;0;1;7;7;-0.6967499714759862;19
20;0;0;0;1;7;4;3;-0.9087068060512529;20
21;0;0;0;1;7;4;3;-0.8728039227641581;21
22;0;1;0;1;7;4;3;-0.687972061813538;22
23;0;0;12;1;3;4;3;-0.748810831824384;23
24;0;1;0;1;7;3;6;-0.8934729428744144;24
