;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;0;1;1;2;7;4;9;-0.08116878274540554;0
1;1;0;6;2;2;0;0;-0.3756170377972793;1
2;1;0;6;2;7;2;2;-0.37114807938466504;2
3;0;1;1;2;0;3;9;-0.05752592917190401;3
4;1;0;11;2;3;5;3;-0.44188722703353045;4
5;0;1;6;0;2;7;5;-0.4711004839497061;5
6;1;1;7;0;7;0;7;-0.49102083789799;6
7;0;0;12;1;7;6;1;-0.4648262893473406;7
8;1;0;4;1;2;5;3;-0.37604923294548165;8
9;0;0;4;0;2;5;6;-0.4529448358837752;9
10;1;1;2;1;7;5;0;-0.27445206822191726;10
11;1;0;2;1;3;2;8;-0.2802521458691299;11
12;1;0;12;1;2;7;5;-0.46835557810656125;12
13;0;1;1;2;2;5;3;-0.09481434243958317;13
14;0;0;11;1;7;0;5;-0.45588595085162076;14
15;0;1;12;1;0;4;0;-0.4660027138085189;15
16;1;0;7;1;1;3;6;-0.42055504687662165;16
