;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;1;6;6;2;1;-0.5391900129552316;0
1;0;12;0;7;0;-0.5530006206440874;1
2;0;1;4;4;1;-0.49163242025374326;2
3;0;2;1;7;0;-0.5118449885461525;3
4;1;6;4;7;1;-0.5422098768355504;4
5;0;7;3;6;0;-0.5732358092639573;5
6;0;1;0;0;0;-0.4951742198382548;6
7;0;8;5;1;1;-0.5498823728027045;7
8;1;3;2;7;1;-0.4963496497394878;8
9;1;0;1;6;1;-0.45637470971366545;9
10;1;4;0;4;1;-0.5140621887928688;10
11;1;2;4;4;0;-0.4929624468904077;11
12;0;7;6;3;1;-0.5409079660296235;12
13;1;8;3;0;0;-0.5701931468355321;13
14;1;4;1;4;0;-0.5550271554578325;14
15;1;10;6;4;1;-0.5609432609127243;15
