;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;1;8;4;7;1;-0.705319671219357;0
1;0;3;4;1;1;-0.7162024801710203;1
2;0;11;5;4;1;-0.6777168291124583;2
3;0;6;7;4;0;-0.7144573710958542;3
4;1;0;2;4;0;-0.7859549613300362;4
5;1;11;7;3;1;-0.690406317311801;5
6;1;12;5;7;0;-0.6341463361183879;6
7;0;8;0;3;1;-0.7088804604240098;7
8;0;1;0;6;1;-0.7025585938782449;8
9;0;9;3;0;0;-0.6708875643487303;9
10;0;2;5;5;1;-0.6875294424466013;10
11;1;12;4;1;1;-0.6822218571043992;11
12;1;8;5;4;0;-0.6977456005666255;12
13;0;5;0;3;0;-0.7164962318589909;13
14;1;2;3;5;1;-0.711039248886479;14
