;metric;n_neighbors;weights;loss;tid
0;2;3;0;-0.7918490946177466;0
1;1;0;1;-0.7757617095927676;1
2;3;15;1;-0.8143801528347263;2
3;3;4;1;-0.8087451846821369;3
4;1;3;0;-0.812912069654226;4
5;0;2;0;-0.805114536784037;5
6;3;5;1;-0.8107583108289891;6
7;0;3;0;-0.8063804291177152;7
8;0;5;0;-0.8096154985096657;8
9;1;15;0;-0.8221161480161964;9
10;1;10;0;-0.8186085754955343;10
11;1;5;1;-0.8180899138837514;11
12;0;12;1;-0.8145120213530042;12
13;3;4;0;-0.8082528939918593;13
14;3;12;1;-0.8145120213530042;14
15;2;17;0;-0.7946269937174602;15
16;2;1;0;-0.7858009527899027;16
17;1;15;0;-0.8221161480161964;17
18;0;15;1;-0.8143801528347263;18
19;3;5;0;-0.8096154985096657;19
