;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;1;0;8;1;7;6;6;-0.8437681437019313;0
1;0;1;2;2;5;3;8;-0.8172987460519788;1
2;0;1;10;0;7;4;1;-0.8483394049579273;2
3;1;0;7;2;7;2;1;-0.8396364193144994;3
4;1;0;11;2;2;3;4;-0.8437945111457484;4
5;0;1;3;1;7;7;4;-0.830177395897584;5
6;1;0;10;2;5;1;2;-0.8431791589887847;6
7;0;0;7;0;5;4;2;-0.8468273715296176;7
8;1;1;10;0;6;6;4;-0.833025681856274;8
9;0;0;4;2;0;0;7;-0.8298521374015199;9
10;0;1;1;1;0;3;8;-0.810714260114638;10
11;0;0;12;1;0;4;1;-0.8449021644260535;11
12;0;0;2;1;2;7;1;-0.819514054158228;12
