;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;1;1;2;1;2;3;5;-0.8380595331092433;0
1;0;1;1;0;5;6;1;-0.82702312264865;1
2;1;1;8;0;5;0;4;-0.8428287916872753;2
3;0;0;8;2;1;6;2;-0.856300046447681;3
4;1;0;5;2;5;5;9;-0.8495189706709165;4
5;1;0;6;2;2;0;6;-0.8540844124115342;5
6;0;1;3;2;0;2;1;-0.838564606290582;6
7;0;0;3;1;2;2;9;-0.8467421889851046;7
8;0;0;0;0;5;6;6;-0.7941142237983756;8
9;1;1;3;0;6;3;6;-0.837262536008582;9
10;0;0;4;1;3;5;7;-0.8500263755563771;10
11;1;1;10;1;5;7;7;-0.8682100479691274;11
12;1;0;7;0;0;1;2;-0.8464211371164495;12
13;1;1;6;2;3;0;9;-0.8555882477014599;13
14;1;1;8;0;6;1;8;-0.8434959986890227;14
15;0;1;8;2;4;3;8;-0.8612513763671549;15
16;0;1;9;0;1;3;1;-0.869308476258427;16
17;0;1;0;1;1;0;2;-0.8213162015599439;17
18;0;1;3;0;6;6;8;-0.8521195503791551;18
19;0;1;7;2;0;4;0;-0.8563197529956558;19
20;1;1;10;1;7;7;7;-0.867860493036068;20
21;1;1;9;1;1;7;3;-0.8660276144762479;21
22;0;1;10;1;4;7;1;-0.8650169477064464;22
23;1;1;9;1;7;3;7;-0.8661042645140293;23
24;1;1;12;0;1;4;1;-0.7943426587980251;24
25;0;1;10;1;5;7;7;-0.8672983599612216;25
26;1;1;11;0;1;3;0;-0.8066930916602917;26
