;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;0;8;6;6;1;-0.835856334391291;0
1;1;0;0;4;0;-0.820859052301046;1
2;1;0;6;1;1;-0.7995057846026331;2
3;0;9;7;1;1;-0.8344761698676691;3
4;1;10;6;7;0;-0.832876238648609;4
5;0;3;3;7;1;-0.8251490489730919;5
6;0;0;6;7;0;-0.8196634737948967;6
7;1;12;1;5;0;-0.8223886843761485;7
8;1;1;7;2;1;-0.8083583409689515;8
9;1;3;6;5;0;-0.8378254863329279;9
10;0;9;0;5;1;-0.8343882349815803;10
11;0;12;5;5;0;-0.8210172959913369;11
12;1;10;5;0;0;-0.8330520605059746;12
13;1;12;5;2;1;-0.831680666325016;13
14;0;1;0;2;0;-0.8276719906527475;14
15;1;3;6;7;1;-0.8282082431831277;15
16;0;11;1;0;1;-0.8303180494420968;16
17;1;8;3;3;0;-0.8381331670483269;17
18;0;3;2;3;0;-0.8379397523403149;18
19;1;2;4;1;0;-0.8321201962382041;19
20;0;4;2;3;0;-0.8389243344936897;20
21;0;4;2;3;0;-0.8389243344936897;21
22;0;4;2;3;0;-0.8389067528489269;22
23;0;4;2;3;0;-0.8389067528489269;23
24;0;4;2;3;0;-0.8389243344936897;24
25;0;5;2;4;0;-0.8397067366197163;25
26;0;5;4;4;0;-0.8396891569070023;26
27;0;5;4;4;0;-0.8396627840534482;27
28;0;5;4;4;0;-0.8396891569070023;28
29;0;5;4;6;0;-0.8396627840534482;29
30;0;6;4;4;0;-0.8401374923261434;30
31;0;6;1;4;0;-0.8400144192671644;31
32;0;6;1;4;0;-0.8400407917343085;32
33;0;6;1;6;0;-0.8400583729926616;33
34;0;6;1;6;0;-0.8400407913478987;34
35;0;7;7;6;1;-0.834783849037429;35
36;0;6;3;6;0;-0.8401462823757052;36
37;0;6;3;6;0;-0.840137491553324;37
38;0;0;3;1;1;-0.8086222337286466;38
39;0;6;3;0;0;-0.8401374923261434;39
40;0;2;3;0;0;-0.830476295450846;40
41;1;7;3;0;1;-0.8333948766893956;41
42;0;9;3;0;0;-0.8331135684411409;42
43;0;11;3;0;0;-0.8249116569685864;43
44;1;8;0;7;1;-0.8367793838792741;44
45;0;10;7;6;0;-0.8292895139496343;45
46;1;6;3;2;1;-0.8342651611497816;46
