;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;0;11;1;1;1;-0.48117840023678554;0
1;1;6;5;6;0;-0.4730612682634316;1
2;0;11;2;6;0;-0.4882360705897728;2
3;1;5;7;5;1;-0.41094834154010557;3
4;0;10;7;7;1;-0.4699233598948303;4
5;1;2;5;7;0;-0.3704418433909537;5
6;0;3;2;4;0;-0.42977000280606265;6
7;0;11;2;3;1;-0.468434109421067;7
8;1;6;2;1;1;-0.42671122540370787;8
9;1;10;0;2;1;-0.4654537326398899;9
10;1;10;7;2;1;-0.46667011082025445;10
11;1;3;2;1;0;-0.46847328666812726;11
12;1;3;2;3;0;-0.46847328666812726;12
