;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;0;10;0;6;1;-0.8288000778809685;0
1;1;4;7;1;0;-0.8445545683447124;1
2;0;11;1;6;0;-0.7960950422106056;2
3;1;1;1;4;1;-0.7780604013765939;3
4;1;2;7;1;1;-0.7967106086199035;4
5;0;3;0;0;0;-0.8351693637593709;5
6;1;7;7;5;0;-0.8487181915711115;6
7;0;5;0;6;1;-0.8333590979872637;7
8;0;6;6;3;1;-0.8366220277834546;8
9;1;10;3;7;1;-0.833378715453834;9
10;0;1;5;0;1;-0.7720330749811369;10
11;0;10;0;5;0;-0.8093134463871066;11
12;1;6;2;7;1;-0.8385527679770671;12
13;0;8;4;6;0;-0.8419424159302199;13
14;0;10;7;3;1;-0.8409626977573538;14
15;1;12;2;7;1;-0.8207474029391054;15
16;1;6;6;2;1;-0.8423799379867217;16
