;metric;n_neighbors;weights;loss;tid
0;0;10;0;-0.3718443030679396;0
1;2;3;0;-0.41305842091178074;1
2;1;17;1;-0.46299401835584825;2
3;0;15;1;-0.4119712105362467;3
4;1;4;1;-0.49154487403899105;4
5;3;1;1;-0.4701199327415752;5
6;3;10;1;-0.4359679293849865;6
7;1;12;0;-0.424296533211978;7
8;1;10;0;-0.42731134688666056;8
9;3;1;0;-0.46660734029586975;9
10;0;9;0;-0.42343997743301554;10
11;1;7;0;-0.4769508050823455;11
12;0;8;1;-0.4455508688117811;12
13;2;12;1;-0.35666107502639444;13
14;3;11;0;-0.4138818888594723;14
