;metric;n_neighbors;weights;loss;tid
0;1;8;0;-0.7369617548590757;0
1;2;9;1;-0.616651338146233;1
2;1;3;1;-0.6435398373874319;2
3;0;8;0;-0.712489766763416;3
4;2;12;1;-0.6330362770546217;4
5;1;8;1;-0.6994966265645874;5
6;0;2;1;-0.5807838920115852;6
7;1;17;0;-0.749782861822964;7
8;2;5;0;-0.5878010744864023;8
9;2;15;0;-0.6381779635466074;9
10;2;8;0;-0.643623150825853;10
11;3;8;0;-0.712489766763416;11
12;1;5;1;-0.6779425709567539;12
13;1;6;0;-0.7260951290980214;13
14;0;10;1;-0.6928132112158403;14
15;0;10;0;-0.717066166825912;15
16;1;12;1;-0.7270872768662662;16
17;2;17;1;-0.6559799818687806;17
