;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;1;0;7;2;6;7;8;-0.8410165652904522;0
1;0;0;0;2;7;4;7;-0.7784606118508979;1
2;1;0;4;1;1;3;3;-0.8362167167630841;2
3;0;0;11;1;7;6;2;-0.8457284827958291;3
4;0;1;0;0;3;4;0;-0.8222919598269078;4
5;0;0;8;0;3;4;5;-0.8478822624871942;5
6;1;1;9;2;0;4;8;-0.8432934037436345;6
7;1;0;2;0;7;6;5;-0.8301510157022441;7
8;0;0;12;1;2;0;3;-0.8456229937000715;8
9;1;1;12;2;5;3;3;-0.8454735589934218;9
10;1;0;1;0;0;4;2;-0.8286301914515531;10
11;1;0;6;1;0;1;9;-0.8401902306914659;11
12;1;0;10;1;7;4;0;-0.8459306829164858;12
13;0;0;3;2;1;3;3;-0.8257643149606757;13
14;1;1;7;0;3;2;7;-0.8382474346013531;14
15;0;1;8;0;4;5;2;-0.8475833660252103;15
