;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;0;0;1;1;6;6;1;-0.33900392463509216;0
1;0;0;10;0;0;4;7;-0.5957739566298311;1
2;0;0;2;2;3;0;4;-0.38692644909671864;2
3;1;0;10;1;7;7;7;-0.5721755773946451;3
4;0;0;7;0;3;0;9;-0.5887925077214966;4
5;1;0;9;1;7;2;5;-0.5664086377425113;5
6;0;1;11;0;6;5;9;-0.5984140443628106;6
7;0;1;0;0;6;3;4;-0.4181096496512867;7
8;1;1;3;2;6;4;4;-0.41902342626710326;8
9;0;0;12;0;1;2;0;-0.5958872367286148;9
10;1;0;0;1;2;2;5;-0.17743767918165312;10
11;0;0;3;1;0;5;6;-0.4774653147271848;11
12;1;0;0;2;4;6;6;-0.0195107651827455;12
13;0;1;9;2;3;5;4;-0.5426404557620398;13
14;1;0;5;2;5;7;4;-0.48790495640954756;14
15;0;0;12;2;7;1;9;-0.5688623262799096;15
16;0;0;5;0;6;4;2;-0.5772171990791626;16
