;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;1;0;2;7;1;-0.801932166343612;0
1;1;2;7;6;0;-0.832550926827996;1
2;1;5;2;1;1;-0.8347926263354685;2
3;0;3;1;4;0;-0.8382825932539616;3
4;1;10;4;3;0;-0.8300719141436123;4
5;0;4;5;2;0;-0.838352938767092;5
6;0;9;3;0;0;-0.832937743878907;6
7;0;12;7;0;1;-0.8326564572695995;7
8;0;10;5;0;1;-0.834862944413505;8
9;1;5;6;0;0;-0.8404187708208454;9
10;1;0;2;1;0;-0.8223183322940522;10
11;1;3;7;0;1;-0.8265292208384996;11
12;1;2;0;7;1;-0.8172548077828725;12
13;0;3;5;7;1;-0.8283313034905844;13
14;1;2;0;2;1;-0.8224413377313207;14
15;1;2;6;1;1;-0.8216062227430168;15
16;0;10;2;2;1;-0.8340981316604366;16
17;1;2;7;2;1;-0.8230216116089089;17
18;1;0;4;2;1;-0.8001478113991849;18
19;0;4;4;3;0;-0.838352938767092;19
