;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;1;6;3;6;1;-0.5499647191923425;0
1;1;11;3;6;0;-0.5545052659455432;1
2;0;9;7;0;1;-0.5611280719792286;2
3;0;2;0;0;0;-0.5193571628707196;3
4;0;8;3;4;1;-0.5525801724469162;4
5;1;0;2;0;1;-0.29116476402007113;5
6;1;5;0;0;0;-0.5651332468308945;6
7;0;5;2;2;0;-0.5701362593208024;7
8;0;3;1;5;1;-0.510314088477193;8
9;0;5;6;7;1;-0.5282800971223881;9
10;0;2;2;7;1;-0.4914328391884008;10
11;1;11;5;0;0;-0.5571184982616786;11
12;1;6;7;2;0;-0.5758640804981289;12
13;0;0;6;2;1;-0.4116794063490886;13
14;1;3;1;2;1;-0.4979451043301566;14
15;0;0;2;0;1;-0.45325550018716515;15
16;1;5;4;5;0;-0.5651136314933085;16
17;0;0;4;2;0;-0.40428842575670065;17
18;0;3;5;2;1;-0.4907243669091456;18
19;0;4;1;0;1;-0.5294508973058141;19
20;1;10;7;3;0;-0.5615861774568112;20
21;1;1;7;1;0;-0.5221982310322864;21
22;1;12;7;2;0;-0.5553591888730782;22
