;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;1;0;5;6;1;-0.6649558920077947;0
1;0;6;2;3;0;-0.7175544164143328;1
2;0;7;7;1;1;-0.7092384032758015;2
3;1;7;4;0;0;-0.7016333699779664;3
4;0;1;3;2;1;-0.7218485618734226;4
5;1;9;7;2;1;-0.7099901991333951;5
6;0;2;7;4;1;-0.6886329526208363;6
7;0;2;2;6;1;-0.7086699621889699;7
8;1;3;5;5;0;-0.7061024371293957;8
9;0;10;5;5;1;-0.69395294104972;9
10;0;12;4;5;1;-0.6696478703909527;10
11;0;5;0;6;0;-0.7189629304866436;11
12;0;0;6;4;0;-0.7996382538797466;12
13;1;6;0;0;1;-0.7028473187901327;13
14;1;5;1;7;0;-0.7269366728779799;14
15;1;12;6;5;1;-0.6855220780803928;15
16;1;4;3;0;0;-0.72866574660571;16
17;0;0;0;7;1;-0.7364657735666678;17
18;0;0;2;1;0;-0.7996382538797466;18
19;1;0;4;3;1;-0.6826474354607398;19
20;0;11;6;1;0;-0.6433251359167006;20
21;0;8;2;4;0;-0.6818632696501267;21
22;0;0;6;1;0;-0.7996382538797466;22
