;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;0;6;4;5;0;-0.4756421660260557;0
1;1;12;4;3;1;-0.47513309154339883;1
2;0;9;1;3;0;-0.4984335302828017;2
3;1;7;7;2;0;-0.4839055948972336;3
4;1;6;4;2;0;-0.4846488666422658;4
5;0;10;1;3;0;-0.5030152772945573;5
6;0;9;3;7;1;-0.47254803585417715;6
7;0;5;0;6;0;-0.47313658422368976;7
8;0;8;5;6;1;-0.46224915239865316;8
9;0;12;7;4;0;-0.5034068966405532;9
10;1;10;3;0;1;-0.47290135194542354;10
11;0;5;1;1;0;-0.47305826035449067;11
12;0;1;4;0;0;-0.36454375196173844;12
13;1;4;1;6;0;-0.45218553955531726;13
14;0;3;2;1;1;-0.3836551057180565;14
15;1;9;0;4;0;-0.47740447608338943;15
16;0;2;7;5;1;-0.35486973443332265;16
17;0;2;6;3;0;-0.4125916506571431;17
18;0;12;1;4;0;-0.5044247082673543;18
19;1;11;7;5;1;-0.47372331556530495;19
20;0;12;2;4;0;-0.4976893078565066;20
21;0;12;6;4;0;-0.49952975778021436;21
22;0;0;5;4;0;-0.2706375805223196;22
23;0;12;7;4;0;-0.5033285114370789;23
24;0;12;7;7;0;-0.503876678853276;24
25;0;1;1;7;0;-0.36454375196173844;25
26;0;12;3;7;0;-0.5059520467170906;26
27;0;0;3;7;0;-0.2706375805223196;27
28;0;4;3;7;0;-0.45794086425206915;28
29;0;11;3;0;0;-0.50062656795324;29
30;0;7;0;2;0;-0.4866852335739528;30
31;0;8;1;1;0;-0.4945171988207259;31
32;1;3;5;7;1;-0.4205037261338752;32
33;0;6;6;5;0;-0.4759163072350371;33
34;1;12;4;2;0;-0.48261265304626644;34
35;0;12;3;3;0;-0.5046597182088736;35
36;0;7;3;3;1;-0.46111427664119403;36
