;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;1;2;5;5;0;-0.8297172687809958;0
1;1;11;3;2;0;-0.8044063496818051;1
2;0;0;4;3;1;-0.7484495141758115;2
3;0;2;7;1;0;-0.8218645440719146;3
4;0;5;4;1;1;-0.837073557348177;4
5;1;4;4;0;1;-0.8319424317730792;5
6;0;11;7;5;0;-0.8171425938281583;6
7;1;0;1;4;1;-0.7461020091341234;7
8;1;7;2;6;0;-0.8482528114418176;8
9;0;7;0;0;1;-0.8429005355507343;9
10;1;4;7;5;1;-0.8247553910379628;10
11;1;8;1;1;1;-0.8420324665007758;11
12;0;9;7;3;1;-0.845975544976558;12
13;0;5;0;1;0;-0.8507597209749335;13
14;1;5;7;2;0;-0.8522148553095334;14
15;1;5;4;2;1;-0.8381611140623674;15
16;1;3;6;6;0;-0.8411245053643895;16
17;0;5;6;2;1;-0.8415262830872084;17
18;0;11;1;7;1;-0.825644712708938;18
19;1;12;1;2;0;-0.7835044926602622;19
20;0;10;0;4;0;-0.8107138762426238;20
21;0;6;0;7;0;-0.8508691874777924;21
22;0;6;2;7;0;-0.8508071881362154;22
23;1;1;5;7;0;-0.81084750097186;23
24;0;6;3;7;0;-0.8509332814920899;24
