;metric;n_neighbors;weights;loss;tid
0;1;2;0;-0.8110747669103786;0
1;1;7;1;-0.8224326203267964;1
2;2;8;1;-0.7990224532093989;2
3;0;15;1;-0.8145559731464527;3
4;1;11;1;-0.8244457306308478;4
5;3;4;1;-0.8089737557242985;5
6;0;2;0;-0.8055716641847889;6
7;3;9;1;-0.8145471838697104;7
8;0;13;0;-0.8124989017751181;8
9;3;9;0;-0.8126835152276847;9
10;3;11;0;-0.812648353483798;10
11;1;15;1;-0.8249731927252565;11
12;2;10;0;-0.7958841095259187;12
13;2;9;0;-0.795734660908517;13
14;3;2;0;-0.8055716641847889;14
15;0;10;0;-0.8096330716534135;15
16;3;17;0;-0.8118571643994879;16
17;2;13;0;-0.7958313603411226;17
18;1;6;0;-0.8173690656756545;18
19;3;17;1;-0.8142834506972523;19
20;1;11;1;-0.8244457306308478;20
21;1;14;1;-0.8250962630793671;21
22;1;14;1;-0.8250962630793671;22
23;1;14;1;-0.8250962630793671;23
24;1;14;1;-0.8250962630793671;24
25;1;3;1;-0.8147933334653568;25
26;1;0;1;-0.7762100554449726;26
27;1;14;1;-0.8250962630793671;27
28;1;1;1;-0.8055013434018841;28
29;1;16;1;-0.8253951529723847;29
30;1;16;1;-0.8253951529723847;30
31;1;16;1;-0.8253951529723847;31
32;2;12;1;-0.7989433319438681;32
33;0;16;1;-0.8145911403000762;33
34;1;16;1;-0.8253951529723847;34
35;1;5;1;-0.8204898311920598;35
36;0;7;1;-0.8138263310246959;36
37;1;16;1;-0.8253951529723847;37
38;2;16;1;-0.7985916967301523;38
39;1;3;1;-0.8147933334653568;39
