;metric;n_neighbors;weights;loss;tid
0;3;8;0;-0.3776111543760614;0
1;2;17;1;-0.3274941585234789;1
2;0;5;0;-0.4479282280733248;2
3;3;2;1;-0.47199806605617844;3
4;3;1;1;-0.4701199327415752;4
5;3;0;0;-0.3416402492759231;5
6;2;8;1;-0.3872762084532455;6
7;0;1;0;-0.46660734029586975;7
8;0;5;1;-0.4549010240866472;8
9;2;2;1;-0.44140148136605006;9
10;2;10;0;-0.30633454969678586;10
11;2;6;1;-0.4043735552007748;11
12;1;3;0;-0.4829590713795544;12
13;2;7;0;-0.37295557428279286;13
14;0;2;0;-0.37805848397635594;14
15;1;2;1;-0.49094498439078305;15
16;2;16;0;-0.27737826260801735;16
17;2;8;1;-0.3872762084532455;17
18;2;11;0;-0.3420152482748848;18
19;0;11;1;-0.42710301127365913;19
20;1;14;1;-0.46948984849272757;20
21;1;3;0;-0.4829590713795544;21
22;1;3;1;-0.4874177377702081;22
23;1;9;1;-0.47948429399927744;23
24;1;13;1;-0.4712312014789969;24
25;1;12;1;-0.4736844612686918;25
