;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;0;0;5;2;1;6;8;-0.8353728322049363;0
1;1;0;1;2;1;5;3;-0.7984159131273543;1
2;0;0;12;2;1;3;6;-0.8449636827942836;2
3;1;1;1;2;0;2;6;-0.7940995563532771;3
4;0;0;10;0;3;6;9;-0.8484712491323891;4
5;1;1;7;1;2;4;0;-0.8418692804711881;5
6;1;1;10;1;1;4;5;-0.8462999017070134;6
7;1;1;3;2;1;4;5;-0.8214392415548936;7
8;0;1;10;1;5;3;4;-0.8454911414110043;8
9;1;1;8;1;6;3;1;-0.844031851757754;9
10;0;1;5;0;2;0;7;-0.8449988333322868;10
11;0;0;10;2;4;7;7;-0.8441021849057716;11
12;0;0;4;1;7;7;1;-0.8348453689512985;12
13;0;0;0;1;3;2;1;-0.7841571184650258;13
14;1;1;0;1;6;5;1;-0.7825483558505579;14
