;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;1;0;9;0;2;0;6;-0.5728685907423726;0
1;1;0;10;1;4;2;5;-0.5728508035995266;1
2;1;1;11;0;2;1;0;-0.5563826268798449;2
3;1;0;10;1;5;1;9;-0.5718605496116524;3
4;0;1;4;2;3;3;7;-0.4669264392298391;4
5;0;0;9;1;3;6;1;-0.5614324112825366;5
6;1;1;4;1;4;7;4;-0.49826804284782733;6
7;0;1;12;0;5;7;1;-0.5974442258899998;7
8;1;1;4;0;1;6;8;-0.5572181289708402;8
9;1;1;4;2;0;5;0;-0.458900483846549;9
10;0;1;2;1;7;6;4;-0.4308263416331135;10
11;1;0;1;2;4;6;8;-0.25150436817236865;11
12;0;0;1;0;6;0;5;-0.49318831891494863;12
13;0;1;12;0;4;3;7;-0.5987920592773036;13
14;1;0;4;1;5;3;5;-0.5012726246507226;14
15;0;1;5;2;3;6;0;-0.4884256816209566;15
16;0;0;12;1;3;7;4;-0.5808577645580655;16
17;0;0;12;1;0;3;9;-0.5822255291216617;17
18;0;0;4;0;3;6;1;-0.566967267640371;18
19;0;0;7;1;0;3;1;-0.5456332421591995;19
20;0;1;12;0;5;7;7;-0.6013190076545722;20
21;0;1;3;0;5;4;7;-0.5649214600239908;21
22;0;1;8;0;7;2;3;-0.5919528772603437;22
23;0;1;0;0;1;4;7;-0.4181334584813655;23
24;0;1;12;0;6;5;2;-0.5983738283460239;24
25;0;1;6;0;4;7;7;-0.5826920713647559;25
26;0;1;12;0;5;3;7;-0.599687784088403;26
27;0;1;2;0;5;7;2;-0.5130346929336967;27
28;0;1;11;0;5;0;6;-0.5976567016778203;28
29;0;1;0;0;2;7;7;-0.4181096496512867;29
30;0;1;12;2;5;2;6;-0.5662094044281545;30
