;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;0;1;5;1;7;1;9;-0.7770684029895409;0
1;1;1;9;0;0;1;7;-0.6810017074944779;1
2;1;0;10;2;7;1;0;-0.7626007470664836;2
3;0;0;7;1;6;2;9;-0.7698824575602405;3
4;0;0;6;2;6;0;7;-0.7772633548301349;4
5;1;1;12;1;7;3;9;-0.7615593891716064;5
6;0;1;6;1;2;1;3;-0.7695568000375809;6
7;0;1;11;2;5;5;2;-0.7545794152214376;7
8;0;1;3;1;2;3;3;-0.7933972166012829;8
9;0;0;5;0;7;2;5;-0.7481236818991037;9
10;0;1;6;2;6;4;2;-0.7765664713011157;10
11;1;1;0;2;5;2;1;-0.5702110968478106;11
12;0;1;0;2;7;3;1;-0.0;12
13;0;1;2;1;1;0;5;-0.8276511116545467;13
14;1;1;4;1;1;6;9;-0.7901273009133335;14
15;0;0;8;1;5;0;3;-0.7594518683713725;15
16;1;1;8;0;2;7;0;-0.6944156103252681;16
17;0;1;7;2;4;2;6;-0.7775691636385229;17
18;0;1;10;2;5;2;4;-0.7642224666733871;18
19;0;1;10;2;3;6;9;-0.7672970704290719;19
20;0;1;3;1;1;0;5;-0.795239958711288;20
21;0;1;2;1;1;0;5;-0.8160268903542074;21
22;0;1;2;1;1;0;8;-0.8167776764080754;22
23;0;1;2;1;1;0;8;-0.7997508862202494;23
