;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;0;1;0;1;1;3;8;-0.022516502370033054;0
1;1;0;4;1;7;1;0;-0.35867016711596583;1
2;1;1;10;0;6;4;9;-0.486920749523241;2
3;0;0;6;0;1;5;3;-0.47893163053030074;3
4;1;1;7;1;7;7;7;-0.4238723195196791;4
5;0;0;0;0;0;0;1;-0.2844610380918048;5
6;0;1;11;2;0;3;5;-0.4487390746405927;6
7;0;0;2;2;7;1;3;-0.23331782087294312;7
8;1;1;1;2;2;7;4;-0.11313422898752905;8
9;0;1;12;1;4;0;1;-0.4649519008948517;9
10;0;1;1;1;2;4;0;-0.20954575989256688;10
11;0;1;10;0;6;4;2;-0.49851170081631324;11
12;0;0;11;0;1;3;0;-0.5043466144016864;12
13;0;1;6;2;1;0;7;-0.3824795193355536;13
14;0;1;5;2;6;0;7;-0.3584359238528842;14
15;1;1;5;1;7;6;2;-0.38525957201862904;15
16;0;0;5;2;4;1;5;-0.3641914862199518;16
17;1;0;8;1;3;6;5;-0.44008467810009105;17
18;0;1;10;0;5;4;6;-0.49882500395989415;18
19;0;1;1;2;5;0;0;-0.11121475751724375;19
20;0;0;3;0;5;2;6;-0.43495464100358816;20
21;0;0;9;0;5;3;6;-0.4965537497552379;21
22;0;0;11;0;3;3;6;-0.5028587215575716;22
