;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;0;3;1;3;0;-0.8384935760823942;0
1;0;10;5;6;0;-0.8308455065131783;1
2;0;7;4;3;0;-0.8391705161613473;2
3;0;4;0;0;1;-0.8312323339971531;3
4;1;3;3;2;1;-0.8303795917677329;4
5;0;0;6;5;1;-0.8113032297578032;5
6;1;1;5;7;0;-0.8296499419177806;6
7;1;1;6;1;0;-0.8296499419177806;7
8;0;9;5;6;0;-0.8339838641074102;8
9;1;4;1;6;1;-0.8323487410045012;9
10;1;0;5;0;1;-0.8051586508695909;10
11;0;7;1;6;0;-0.8390738124782343;11
12;0;7;6;7;1;-0.8374562343111596;12
