;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;1;6;2;7;1;-0.5493891560330171;0
1;1;3;0;2;1;-0.509306991840038;1
2;1;5;2;3;1;-0.5266082172787504;2
3;1;10;2;3;0;-0.570253148699156;3
4;0;4;5;4;0;-0.5719549961530764;4
5;0;1;0;3;1;-0.4178974556434403;5
6;1;0;2;5;1;-0.4941143581982071;6
7;1;3;4;6;1;-0.4912297567304059;7
8;1;12;2;2;1;-0.5595625965010391;8
9;1;11;1;0;1;-0.5659372800861837;9
10;1;10;1;4;0;-0.5705189302409021;10
11;0;2;4;7;0;-0.5441131354352926;11
12;1;2;2;7;0;-0.5107101740827585;12
13;0;9;1;4;1;-0.5664657071712682;13
14;0;7;6;4;1;-0.5528885140086174;14
