;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;1;5;7;3;1;-0.7336575646179753;0
1;1;6;0;7;0;-0.714578804541666;1
2;1;9;0;0;0;-0.6818011668836637;2
3;0;6;5;5;0;-0.7140773309670452;3
4;1;2;6;6;0;-0.7512281166258681;4
5;0;5;2;1;0;-0.7139382665063604;5
6;0;10;6;2;1;-0.6981645850569012;6
7;1;6;1;1;1;-0.7044357649051349;7
8;0;11;4;1;0;-0.6468588253292441;8
9;0;4;2;3;0;-0.7088631149543236;9
10;1;10;5;2;1;-0.70295259884864;10
11;0;10;7;5;1;-0.6948432683420415;11
12;1;12;2;5;1;-0.6830188325103073;12
13;1;6;7;3;1;-0.7173676678588673;13
14;0;7;6;1;1;-0.7256741858220341;14
