;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;0;6;4;4;1;-0.4461947065760616;0
1;0;1;6;5;0;-0.36705003144148274;1
2;1;0;2;1;0;-0.2858316444685147;2
3;0;2;6;3;1;-0.352561434326555;3
4;1;11;2;0;0;-0.4937339601287345;4
5;1;10;6;2;0;-0.4958483519250299;5
6;0;3;2;0;0;-0.44239515557362186;6
7;1;8;1;5;0;-0.4903663020906247;7
8;1;9;4;2;0;-0.49220704335213894;8
9;0;3;5;6;0;-0.44239515557362186;9
10;0;9;7;7;1;-0.4716865652943992;10
11;1;10;1;1;0;-0.5010960741617254;11
12;0;11;6;7;1;-0.47168707896895246;12
13;0;10;2;2;0;-0.5068142916220907;13
14;0;2;0;4;1;-0.37053607229716334;14
15;0;11;7;1;1;-0.4730181630721971;15
16;1;10;1;6;1;-0.47384093937122246;16
17;0;6;4;4;1;-0.4585670181989528;17
18;0;10;3;2;1;-0.4646765790010763;18
19;0;1;1;6;1;-0.3424990711690727;19
20;1;5;5;1;0;-0.46358105684782613;20
21;1;4;2;1;0;-0.4591161209628439;21
22;1;10;0;3;0;-0.4993730103736193;22
23;1;12;3;2;0;-0.49858984068268725;23
