Seuil5;VRAI;;;;;
;;;;;;
Étiquettes de lignes;Moyenne de AccuracyTest;Moyenne de RecallTest;Moyenne de PrecisionTest;Moyenne de F1Test;Moyenne de AUC;
Adelaide;0,8742;0,5420;0,8161;0,6514;0,9010;
Albany;0,7990;0,4551;0,7788;0,5745;0,8500;
Albury;0,8581;0,4390;0,7714;0,5596;0,8809;
AliceSprings;0,9488;0,4583;0,8148;0,5867;0,9390;
BadgerysCreek;0,8628;0,4649;0,7465;0,5730;0,8625;
Ballarat;0,8444;0,5513;0,7818;0,6466;0,8743;
Bendigo;0,8746;0,4821;0,7500;0,5870;0,8865;
Brisbane;0,8676;0,5035;0,8452;0,6311;0,8890;
Cairns;0,8078;0,5187;0,8017;0,6299;0,8865;
Canberra;0,8616;0,3760;0,7460;0,5000;0,8417;
Cobar;0,8977;0,4026;0,6739;0,5041;0,8872;
CoffsHarbour;0,8129;0,4884;0,7925;0,6043;0,8690;
Dartmoor;0,8146;0,5652;0,7820;0,6562;0,8779;
Darwin;0,8717;0,6491;0,8346;0,7303;0,9261;
GoldCoast;0,8462;0,5263;0,8163;0,6400;0,8627;
Hobart;0,7975;0,3224;0,6533;0,4317;0,8125;
Katherine;0,8964;0,4510;0,8519;0,5897;0,9296;
Launceston;0,8361;0,4058;0,7671;0,5308;0,8364;
Melbourne;0,8304;0,4019;0,7544;0,5244;0,8758;
MelbourneAirport;0,8272;0,3664;0,6957;0,4800;0,8104;
Mildura;0,9151;0,3077;0,7692;0,4396;0,9072;
Moree;0,9177;0,4225;0,8571;0,5660;0,8888;
MountGambier;0,8182;0,5628;0,7744;0,6519;0,8726;
Newcastle;0,7876;0,2734;0,6667;0,3878;0,7740;
Nhil;0,8818;0,4792;0,6571;0,5542;0,8884;
NorahHead;0,8270;0,4403;0,8642;0,5833;0,8772;
NorfolkIsland;0,7555;0,3352;0,7262;0,4586;0,7655;
Nuriootpa;0,8750;0,5678;0,7363;0,6411;0,9085;
PearceRAAF;0,9167;0,5647;0,8727;0,6857;0,9584;best
Penrith;0,8593;0,3879;0,8036;0,5233;0,8284;
Perth;0,9045;0,6202;0,8696;0,7240;0,9276;
PerthAirport;0,9037;0,5841;0,8571;0,6947;0,9257;
Portland;0,8007;0,6347;0,7809;0,7003;0,8606;
Richmond;0,8660;0,4234;0,7705;0,5465;0,8566;
Sale;0,8130;0,3178;0,6308;0,4227;0,8304;
SalmonGums;0,8759;0,3511;0,7333;0,4748;0,8602;
Sydney;0,8321;0,4798;0,7905;0,5971;0,8739;
SydneyAirport;0,8353;0,4935;0,7835;0,6056;0,8305;
Townsville;0,8746;0,3883;0,7547;0,5128;0,8751;
Tuggeranong;0,8632;0,3571;0,8163;0,4969;0,8241;
Uluru;0,9336;0,1739;0,8000;0,2857;0,9215;ex best
WaggaWagga;0,8902;0,5143;0,7941;0,6243;0,8965;
Walpole;0,8213;0,5989;0,8235;0,6935;0,8744;
Watsonia;0,8227;0,4247;0,7381;0,5391;0,8386;
Williamtown;0,8319;0,4071;0,7797;0,5349;0,8758;
Witchcliffe;0,8581;0,6667;0,8227;0,7365;0,9076;
Wollongong;0,8319;0,4326;0,7625;0,5520;0,8114;
Woomera;0,9464;0,3250;0,7222;0,4483;0,8762;
Total général;0,8560;0,4563;0,7757;0,5690;0,8716;
;;;;;;
