,J,Location,pvalue05,pvaluebest,AUC,AccuracyTrain,AccuracyTest,RecallTest
0,1,Sydney,2.634553603608921e-48,4.488327188339075e-44,2,0.849445324881141,0.8261562998405104,0.7417218543046358
1,1,Brisbane,7.897255179742708e-46,7.300644973844184e-42,2,0.8574450084602369,0.8347386172006745,0.7122302158273381
2,1,Wollongong,1.4027906195687486e-27,1.213138651089965e-24,2,0.8392698130008904,0.775,0.6546762589928058
3,1,Newcastle,6.446040390053059e-21,1.4272617807964727e-17,2,0.7921960072595281,0.7713754646840149,0.5909090909090909
4,1,GoldCoast,7.011602258538062e-45,2.5310190221133036e-43,2,0.8166969147005445,0.818348623853211,0.8211920529801324
5,1,Williamtown,2.132699865975915e-33,5.301171305241693e-35,2,0.8520231213872832,0.8372591006423983,0.7321428571428571
6,1,NorfolkIsland,1.6597271757918513e-21,7.800946140643786e-23,2,0.7515527950310559,0.7345794392523365,0.7142857142857143
7,1,CoffsHarbour,4.063820416959215e-41,2.704634718393631e-41,2,0.8220494053064958,0.8199300699300699,0.75
8,1,NorahHead,3.851171394348919e-36,2.761861839670996e-35,2,0.7839101964452759,0.7852112676056338,0.7843137254901961
9,1,SydneyAirport,2.297393583707081e-44,2.499590852650842e-40,2,0.8373121131741822,0.8152753108348135,0.7702702702702703
10,2,Sydney,1.6853689238324053e-07,7.36523238807647e-16,2,0.7113483590351918,0.7022653721682848,0.6575342465753424
11,2,Brisbane,0.0004525132018939773,2.3960052792632972e-08,2,0.724429416737109,0.6848381601362862,0.5476190476190477
12,2,Wollongong,6.905291670147816e-05,2.5257057321462143e-06,2,0.7326466636811464,0.6311787072243346,0.5939849624060151
13,2,Newcastle,0.9303751744945773,8.424548091680903e-08,2,0.6593806921675774,0.6409774436090225,0.632
14,2,GoldCoast,4.895235534617416e-06,3.5032183335072133e-10,2,0.6859617137648131,0.6467391304347826,0.6690140845070423
15,2,Williamtown,8.941511311070075e-05,1.2369434966082362e-09,2,0.727932285368803,0.7086419753086419,0.5979381443298969
16,2,NorfolkIsland,0.0016740117455432953,0.0005318991768600689,2,0.5957542908762421,0.5385964912280702,0.6947368421052632
17,2,CoffsHarbour,2.333564840268427e-05,1.4786791339823828e-10,2,0.6768878718535469,0.6389380530973451,0.672514619883041
18,2,NorahHead,0.0009653053716809549,6.887660023062577e-11,2,0.6203485633537447,0.6115992970123023,0.7515923566878981
19,2,SydneyAirport,0.08397631660577286,1.6409981008543457e-13,2,0.7152347209920283,0.6897163120567376,0.6438356164383562
20,3,Sydney,0.05422497664939367,0.09976193701763765,2,0.6762960031658093,0.5705024311183144,0.48026315789473684
21,3,Brisbane,0.38240202655280076,0.0018653878128403404,2,0.7060825180774138,0.6187290969899666,0.47435897435897434
22,3,Wollongong,0.5017807661818883,1.0607195516410273e-10,2,0.6814914645103325,0.6791744840525328,0.6440677966101694
23,3,Newcastle,1.0,0.0006566773437212797,2,0.6316507503410641,0.5736434108527132,0.6201550387596899
24,3,GoldCoast,0.3432519471995127,5.111384432081032e-05,2,0.6440217391304348,0.5703564727954972,0.6666666666666666
25,3,Williamtown,0.2856165965466373,6.961613269294629e-05,2,0.6634920634920635,0.6253041362530414,0.6041666666666666
26,3,NorfolkIsland,0.3919083051943798,0.08669517606047915,2,0.503796337650737,0.429097605893186,0.7987421383647799
