,J,seuil,pvalue05,pvaluebest,AUC,AccuracyTrain,AccuracyTest,RecallTest
0,1.0,1.0,0.0,0.0,0.9006006010694759,0.8377035232238852,0.823568086011525,0.7991967871485943
1,1.0,0.0,0.0,0.0,0.9006006010694759,0.8804869087674517,0.8657230150442821,0.5584075432163437
2,2.0,1.0,0.0,0.0,0.7729888549734707,0.7211813181473635,0.6925678302106818,0.7192213258505787
3,2.0,0.0,0.0,0.0,0.7729888549734707,0.814872402868749,0.7961595273264401,0.21851981760785688
4,3.0,1.0,3.672623497635115e-186,0.0,0.7148405785111219,0.6893384501499981,0.6530699703911486,0.6590909090909091
5,3.0,0.0,3.672623497635115e-186,0.0,0.7148405785111219,0.796976662640745,0.7845956054230949,0.106993006993007
6,4.0,1.0,4.1822579230210555e-117,1.689318280652591e-289,0.6890731039253267,0.6528571707279006,0.6110655897615982,0.681453021306322
7,4.0,0.0,4.1822579230210555e-117,1.689318280652591e-289,0.6890731039253267,0.7917650272157949,0.7796636622575989,0.0815578064966818
8,5.0,1.0,3.129087781625516e-127,3.401627948061797e-282,0.6879291200941784,0.662058191759422,0.6201132591290763,0.6590472866864422
9,5.0,0.0,3.129087781625516e-127,3.401627948061797e-282,0.6879291200941784,0.7913591095489162,0.7802382347197813,0.08358052695864596
10,6.0,1.0,9.446623442174284e-95,2.5580612023875686e-237,0.6737672937788779,0.6625450144924707,0.6124058242573291,0.641154983475387
11,6.0,0.0,9.446623442174284e-95,2.5580612023875686e-237,0.6737672937788779,0.7906740706764129,0.7769059608853496,0.07444773004000696
12,7.0,1.0,1.318729963038981e-94,1.409904936588089e-277,0.680217086486588,0.6664682520321237,0.6224434035909445,0.6506861212437033
13,7.0,0.0,1.318729963038981e-94,1.409904936588089e-277,0.680217086486588,0.7903570487612096,0.776775956284153,0.07347576862949452
14,8.0,1.0,7.927638912467989e-105,2.9256172450768633e-259,0.6825152285550609,0.6570481155791182,0.6140694080363082,0.6546310832025117
15,8.0,0.0,7.927638912467989e-105,2.9256172450768633e-259,0.6825152285550609,0.7890015943971125,0.778903712977816,0.0706436420722135
16,9.0,1.0,1.1161449738135781e-100,1.403701296689322e-281,0.686020593077556,0.674910239557378,0.6351186972729056,0.6296685954760652
17,9.0,0.0,1.1161449738135781e-100,1.403701296689322e-281,0.686020593077556,0.7899115148423551,0.7791642142436728,0.06891109942135717
18,10.0,1.0,1.2144775926640219e-77,1.0900299577474326e-259,0.680491817080964,0.6541001002181218,0.614934171742975,0.6541089889609252
19,10.0,0.0,1.2144775926640219e-77,1.0900299577474326e-259,0.680491817080964,0.7898563540254279,0.7766948319905679,0.06220431049588225
20,11.0,1.0,1.5768795930714008e-100,2.1246432696128394e-274,0.6857924061433629,0.6354720025183961,0.5968757377823247,0.6987381703470031
21,11.0,0.0,1.5768795930714008e-100,2.1246432696128394e-274,0.6857924061433629,0.7897631133671743,0.7785866058078225,0.06817385208552401
22,12.0,1.0,1.0210814882809307e-107,1.6742826026841132e-252,0.6801571435173851,0.6570252815625738,0.613885169725132,0.6510690501226779
23,12.0,0.0,1.0210814882809307e-107,1.6742826026841132e-252,0.6801571435173851,0.7915255572182406,0.7790029140741908,0.07027690150718542
24,13.0,1.0,1.1933298838852517e-91,4.520989810311575e-279,0.6853556936879532,0.6594808925971113,0.6225108225108225,0.6530790762771168
25,13.0,0.0,1.1933298838852517e-91,4.520989810311575e-279,0.6853556936879532,0.7884214254791609,0.7777646595828414,0.06333100069979006
26,14.0,1.0,1.480244372349244e-98,1.8908253056494e-278,0.6847729659071963,0.6553385647137491,0.6163074260541221,0.6645702306079665
